"","V1","V2"
"1634",24,36
"1635",24,36
"1636",27,33
"1637",18,42
"1638",27,33
"1639",21,39
"1640",27,33
"1641",24,36
"1642",27,33
"1643",24,36
"1644",27,33
"1645",21,39
"1646",27,33
"1647",18,42
"1648",27,33
"1649",24,36
"1650",27,33
"1651",21,39
"1652",24,36
"1653",27,33
"1654",24,36
"1655",27,33
"1656",18,42
"1657",27,33
"1658",18,42
"1659",27,33
"1660",18,42
"1661",27,33
"1662",18,42
"1663",27,33
"1664",27,33
"1665",27,33
"1666",24,36
"1667",27,33
"1668",18,42
"1669",21,39
"1670",27,33
"1671",21,39
"1672",18,42
"1673",24,36
"1674",27,33
"1675",27,33
"1676",24,36
"1677",24,36
"1678",27,33
"1679",27,33
"1680",24,36
"1681",21,39
"1682",24,36
"1683",18,42
"1684",18,42
"1685",24,36
"1686",27,33
"1687",18,42
"1688",21,39
"1689",24,36
"1690",27,33
"1691",18,42
"1692",27,33
"1693",27,33
"1694",24,36
"1695",24,36
"1696",18,42
"1697",27,33
"1698",18,42
"1699",24,36
"1700",21,39
"1701",27,33
"1702",27,33
"1703",21,39
"1704",21,39
"1705",27,33
"1706",27,33
"1707",24,36
"1708",27,33
"1709",18,42
"1710",18,42
"1711",27,33
"1712",27,33
"1713",27,33
"1714",21,39
"1715",18,42
"1716",24,36
"1717",18,42
"1718",27,33
"1719",27,33
"1720",18,42
"1721",18,42
"1722",21,39
"1723",27,33
"1724",18,42
"1725",27,33
"1726",24,36
"1727",27,33
"1728",27,33
"1729",24,36
"1730",27,33
"1731",24,36
"1732",27,33
"1733",27,33
"1734",18,42
"1735",24,36
"1736",27,33
"1737",27,33
"1738",21,39
"1739",27,33
"1740",21,39
"1741",27,33
"1742",27,33
"1743",27,33
"1744",27,33
"1745",27,33
"1746",27,33
"1747",21,39
"1748",21,39
"1749",21,39
"1750",18,42
"1751",24,36
"1752",27,33
"1753",24,36
"1754",18,42
"1755",18,42
"1756",27,33
"1757",18,42
"1758",27,33
"1759",18,42
"1760",27,33
"1761",24,36
"1762",27,33
"1763",24,36
"1764",18,12
"1765",18,42
"1766",27,33
"1767",24,36
"1768",24,36
"1769",27,33
"1770",24,36
"1771",27,33
"1772",27,33
"1773",21,39
"1774",27,33
"1775",18,42
"1776",21,39
"1777",27,33
"1778",27,33
"1779",18,42
"1780",21,39
"1781",27,33
"1782",21,39
"1783",27,33
"1784",27,33
"1785",27,33
"1786",27,33
"1787",18,42
"1788",18,42
"1789",27,33
"1790",27,33
"1791",18,42
"1792",24,36
"1793",15,45
"1794",24,36
"1795",24,36
"1796",18,42
"1797",24,36
"1798",18,42
"1799",27,33
"1800",18,42
"1801",18,42
"1802",27,33
"1803",18,42
"1804",24,36
"1805",21,39
"1806",21,39
"1807",27,33
"1808",18,42
"1809",18,42
"1810",27,33
"1811",27,33
"1812",24,36
"1813",27,33
"1814",27,33
"1815",27,33
"1816",27,33
"1817",27,33
"1818",18,42
"1819",24,36
"1820",27,33
"1821",24,36
"1822",24,36
"1823",24,36
"1824",27,33
"1825",27,33
"1826",18,42
"1827",24,36
"1828",18,42
"1829",27,33
"1830",27,33
"1831",24,36
"1832",27,33
"1833",27,33
"1834",21,39
"1835",18,42
"1836",21,39
"1837",24,36
"1838",27,33
"1839",18,42
"1840",24,36
"1841",18,42
"1842",27,33
"1843",24,36
"1844",21,39
"1845",21,39
"1846",18,42
"1847",27,33
"1848",24,36
"1849",27,33
"1850",24,36
"1851",24,36
"1852",24,36
"1853",24,36
"1854",27,33
"1855",27,33
"1856",27,33
"1857",24,36
"1858",27,33
"1859",21,39
"1860",18,42
"1861",24,36
"1862",18,12
"1863",24,36
"1864",24,36
"1865",27,33
"1866",27,33
